Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,StormPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,StormPowerLoss,StormDeficit,StormStorage,StormPHES-power,StormPHES-Charge,StormSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Wed -23 May 2029 02:30,9760.0,9760.0,2419.0,129.0,0.0,4477.0,4405.0,2734.0,0.0,0.0,-0.0,492895.0,72.0,0.0,492895.0,2734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 03:00,9739.0,9739.0,2419.0,129.0,0.0,4477.0,4405.0,2714.0,0.0,0.0,-0.0,491539.0,72.0,0.0,491539.0,2714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 03:30,9662.0,9662.0,2419.0,129.0,0.0,3789.0,3736.0,3325.0,0.0,0.0,-0.0,489876.0,52.0,0.0,489876.0,3325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 04:00,9877.0,9877.0,2419.0,129.0,0.0,3789.0,3736.0,3540.0,0.0,0.0,-0.0,488106.0,52.0,0.0,488106.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 04:30,10483.0,10483.0,2419.0,129.0,0.0,4508.0,4439.0,3427.0,0.0,0.0,-0.0,486393.0,69.0,0.0,486393.0,3427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 05:00,11351.0,11351.0,2419.0,129.0,0.0,4508.0,4439.0,4295.0,0.0,0.0,-0.0,484245.0,69.0,0.0,484245.0,4295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 05:30,12013.0,12013.0,2419.0,129.0,0.0,3749.0,3700.0,5715.0,0.0,0.0,-0.0,481388.0,49.0,0.0,481388.0,5715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 06:00,13460.0,13460.0,2419.0,129.0,0.0,3749.0,3700.0,7163.0,0.0,0.0,-0.0,477806.0,49.0,0.0,477806.0,7163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 06:30,15125.0,15125.0,2419.0,129.0,14443.0,2836.0,2799.0,0.0,0.0,0.0,-4701.0,479687.0,36.0,0.0,479687.0,0.0,-4701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 07:00,16124.0,16124.0,2419.0,129.0,14443.0,2836.0,2799.0,0.0,0.0,0.0,-3703.0,481168.0,36.0,0.0,481168.0,0.0,-3703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 07:30,17483.0,17483.0,2419.0,129.0,25450.0,2053.0,2027.0,0.0,0.0,0.0,-12568.0,486195.0,26.0,0.0,486195.0,0.0,-12568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 08:00,17778.0,17778.0,2419.0,129.0,25450.0,2053.0,2027.0,0.0,0.0,0.0,-12274.0,491105.0,26.0,0.0,491105.0,0.0,-12274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -23 May 2029 08:30,17400.0,17400.0,2419.0,129.0,28025.0,1293.0,1275.0,0.0,0.0,0.0,-14466.0,496891.0,17.0,0.0,496891.0,0.0,-14466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
