Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,eventPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,eventPowerLoss,eventDeficit,eventStorage,eventPHES-power,eventPHES-Charge,eventSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Sat -22 May 2027 19:30,10440.0,10440.0,168.0,397.0,0.0,1030.0,1024.0,8845.0,0.0,0.0,-0.0,289302.0,5.0,0.0,289302.0,8845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -22 May 2027 20:00,10422.0,10422.0,168.0,397.0,0.0,1030.0,1024.0,8827.0,0.0,0.0,-0.0,284889.0,5.0,0.0,284889.0,8827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -22 May 2027 20:30,10191.0,10191.0,168.0,397.0,0.0,992.0,986.0,8633.0,0.0,0.0,-0.0,280572.0,6.0,0.0,280572.0,8633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -22 May 2027 21:00,9654.0,9654.0,168.0,397.0,0.0,992.0,986.0,8097.0,0.0,0.0,-0.0,276524.0,6.0,0.0,276524.0,8097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -22 May 2027 21:30,9439.0,9439.0,168.0,397.0,0.0,1146.0,1139.0,7727.0,0.0,0.0,-0.0,272660.0,8.0,0.0,272660.0,7727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -22 May 2027 22:00,9585.0,9585.0,168.0,397.0,0.0,1146.0,1139.0,7873.0,0.0,0.0,-0.0,268724.0,8.0,0.0,268724.0,7873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -22 May 2027 22:30,9217.0,9217.0,168.0,397.0,0.0,1168.0,1164.0,7483.0,0.0,0.0,-0.0,264982.0,5.0,0.0,264982.0,7483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -22 May 2027 23:00,9071.0,9071.0,168.0,397.0,0.0,1168.0,1164.0,7337.0,0.0,0.0,-0.0,261314.0,5.0,0.0,261314.0,7337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -22 May 2027 23:30,8965.0,8965.0,168.0,397.0,0.0,1520.0,1515.0,6879.0,0.0,0.0,-0.0,257874.0,4.0,0.0,257874.0,6879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -23 May 2027 00:00,8701.0,8701.0,168.0,397.0,0.0,1002.0,996.0,7133.0,0.0,0.0,-0.0,254308.0,6.0,0.0,254308.0,7133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
