Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,eventPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,eventPowerLoss,eventDeficit,eventStorage,eventPHES-power,eventPHES-Charge,eventSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Fri -30 Jun 2023 13:00,2920.0,2920.0,0.0,0.0,6269.0,3272.0,3132.0,0.0,0.0,-6621.0,-0.0,120892.0,140.0,0.0,120892.0,0.0,-0.0,-6621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -30 Jun 2023 13:30,3025.0,3025.0,0.0,0.0,5916.0,3272.0,3132.0,0.0,0.0,-6164.0,-0.0,120892.0,140.0,0.0,120892.0,0.0,-0.0,-6164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -30 Jun 2023 14:00,3005.0,3005.0,0.0,0.0,5916.0,1934.0,1812.0,0.0,0.0,-4845.0,-0.0,120892.0,122.0,0.0,120892.0,0.0,-0.0,-4845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -30 Jun 2023 14:30,3212.0,3212.0,3.0,18.0,4998.0,2003.0,1878.0,0.0,0.0,-3810.0,-0.0,120892.0,126.0,0.0,120892.0,0.0,-0.0,-3810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -30 Jun 2023 15:00,3264.0,3264.0,3.0,18.0,4998.0,2003.0,1878.0,0.0,0.0,-3759.0,-0.0,120892.0,126.0,0.0,120892.0,0.0,-0.0,-3759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -30 Jun 2023 15:30,3506.0,3506.0,3.0,18.0,571.0,1834.0,1722.0,1079.0,0.0,0.0,-0.0,120352.0,112.0,0.0,120352.0,1079.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -30 Jun 2023 16:00,3684.0,3684.0,3.0,18.0,571.0,1834.0,1722.0,1257.0,0.0,0.0,-0.0,119724.0,112.0,0.0,119724.0,1257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -30 Jun 2023 16:30,3920.0,3920.0,3.0,18.0,0.0,1845.0,1733.0,2054.0,0.0,0.0,-0.0,118697.0,111.0,0.0,118697.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -30 Jun 2023 17:00,3994.0,3994.0,3.0,18.0,0.0,1845.0,1733.0,2128.0,0.0,0.0,-0.0,117633.0,111.0,0.0,117633.0,2128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -30 Jun 2023 17:30,4250.0,4250.0,3.0,18.0,0.0,1807.0,1702.0,2421.0,0.0,0.0,-0.0,116422.0,105.0,0.0,116422.0,2421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -30 Jun 2023 18:00,4261.0,4261.0,3.0,18.0,0.0,1807.0,1702.0,2432.0,0.0,0.0,-0.0,115206.0,105.0,0.0,115206.0,2432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
