Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,StormPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,StormPowerLoss,StormDeficit,StormStorage,StormPHES-power,StormPHES-Charge,StormSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Sat -16 Dec 2023 15:30,1560.0,1560.0,1000.0,0.0,0.0,663.0,660.0,0.0,0.0,0.0,-103.0,754.0,2.0,0.0,754.0,0.0,-103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 16:00,1655.0,1655.0,1000.0,0.0,0.0,663.0,660.0,0.0,0.0,0.0,-8.0,757.0,2.0,0.0,757.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 16:30,1627.0,1627.0,1000.0,0.0,0.0,656.0,653.0,0.0,0.0,0.0,-29.0,768.0,2.0,0.0,768.0,0.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 17:00,1620.0,1620.0,1000.0,0.0,0.0,656.0,653.0,0.0,0.0,0.0,-36.0,782.0,2.0,0.0,782.0,0.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 17:30,1582.0,1582.0,1000.0,0.0,0.0,654.0,652.0,0.0,0.0,0.0,-73.0,811.0,2.0,0.0,811.0,0.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 18:00,1536.0,1536.0,1000.0,0.0,0.0,654.0,652.0,0.0,0.0,0.0,-118.0,859.0,2.0,0.0,859.0,0.0,-118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 18:30,1465.0,1465.0,1000.0,0.0,0.0,650.0,648.0,0.0,0.0,0.0,-185.0,933.0,2.0,0.0,933.0,0.0,-185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 19:00,1466.0,1466.0,1000.0,0.0,0.0,650.0,648.0,0.0,0.0,0.0,-184.0,1006.0,2.0,0.0,1006.0,0.0,-184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 19:30,1464.0,1464.0,1000.0,0.0,0.0,645.0,642.0,0.0,0.0,0.0,-181.0,1079.0,2.0,0.0,1079.0,0.0,-181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 20:00,1434.0,1434.0,1000.0,0.0,0.0,645.0,642.0,0.0,0.0,0.0,-211.0,1163.0,2.0,0.0,1163.0,0.0,-211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 20:30,1403.0,1403.0,1000.0,0.0,0.0,601.0,599.0,0.0,0.0,0.0,-198.0,1242.0,2.0,0.0,1242.0,0.0,-198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 21:00,1411.0,1411.0,1000.0,0.0,0.0,601.0,599.0,0.0,0.0,0.0,-189.0,1318.0,2.0,0.0,1318.0,0.0,-189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 21:30,1363.0,1363.0,1000.0,0.0,0.0,583.0,581.0,0.0,0.0,0.0,-219.0,1405.0,2.0,0.0,1405.0,0.0,-219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 22:00,1336.0,1336.0,1000.0,0.0,0.0,583.0,581.0,0.0,0.0,0.0,-247.0,1504.0,2.0,0.0,1504.0,0.0,-247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 22:30,1301.0,1301.0,1000.0,0.0,0.0,572.0,570.0,0.0,0.0,-160.0,-111.0,1548.0,2.0,0.0,1548.0,0.0,-111.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 23:00,1320.0,1320.0,1000.0,0.0,0.0,572.0,570.0,0.0,0.0,-252.0,-0.0,1548.0,2.0,0.0,1548.0,0.0,-0.0,-252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -16 Dec 2023 23:30,1299.0,1299.0,1000.0,0.0,0.0,486.0,484.0,0.0,0.0,-187.0,-0.0,1548.0,2.0,0.0,1548.0,0.0,-0.0,-187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -17 Dec 2023 00:00,1172.0,1172.0,1000.0,0.0,0.0,443.0,442.0,0.0,0.0,-271.0,-0.0,1548.0,1.0,0.0,1548.0,0.0,-0.0,-271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -17 Dec 2023 00:30,1169.0,1169.0,1000.0,0.0,0.0,464.0,463.0,0.0,0.0,-296.0,-0.0,1548.0,1.0,0.0,1548.0,0.0,-0.0,-296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -17 Dec 2023 01:00,1161.0,1161.0,1000.0,0.0,0.0,464.0,463.0,0.0,0.0,-304.0,-0.0,1548.0,1.0,0.0,1548.0,0.0,-0.0,-304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -17 Dec 2023 01:30,1147.0,1147.0,1000.0,0.0,0.0,431.0,429.0,0.0,0.0,-284.0,-0.0,1548.0,1.0,0.0,1548.0,0.0,-0.0,-284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun -17 Dec 2023 02:00,1161.0,1161.0,1000.0,0.0,0.0,431.0,429.0,0.0,0.0,-269.0,-0.0,1548.0,1.0,0.0,1548.0,0.0,-0.0,-269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
