Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,StormPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,StormPowerLoss,StormDeficit,StormStorage,StormPHES-power,StormPHES-Charge,StormSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Sat -04 Jun 2022 20:00,38811.0,38811.0,7173.0,609.0,0.0,22323.0,22300.0,8706.0,0.0,0.0,-0.0,126327.0,23.0,0.0,126327.0,8706.0,0.0,-317995.0,0.0,-5671.0,-3457.0,6136.0,0.0,0.0,911.0
Sat -04 Jun 2022 20:30,38142.0,38142.0,7173.0,609.0,0.0,28796.0,28767.0,1565.0,0.0,0.0,-0.0,125545.0,29.0,0.0,125545.0,1565.0,0.0,-314254.0,0.0,-7824.0,-602.0,6702.0,0.0,0.0,857.0
Sat -04 Jun 2022 21:00,36186.0,36186.0,7173.0,609.0,0.0,28796.0,28767.0,0.0,0.0,0.0,-392.0,125702.0,29.0,0.0,125702.0,0.0,-392.0,-313863.0,0.0,-8005.0,139.0,6574.0,0.0,0.0,881.0
Sat -04 Jun 2022 21:30,34996.0,34996.0,7173.0,609.0,0.0,35817.0,35788.0,0.0,0.0,0.0,-8603.0,129143.0,30.0,0.0,129143.0,0.0,-8603.0,-314254.0,0.0,-11550.0,3224.0,7168.0,0.0,0.0,823.0
Sat -04 Jun 2022 22:00,35665.0,35665.0,7173.0,609.0,0.0,35817.0,35788.0,0.0,0.0,0.0,-7933.0,132316.0,30.0,0.0,132316.0,0.0,-7933.0,-322858.0,0.0,-11668.0,2851.0,7538.0,0.0,0.0,831.0
Sat -04 Jun 2022 22:30,34422.0,34422.0,7173.0,609.0,0.0,39343.0,39313.0,0.0,0.0,0.0,-12702.0,137397.0,30.0,0.0,137397.0,0.0,-12702.0,-330791.0,0.0,-12660.0,4854.0,7852.0,0.0,0.0,831.0
Sat -04 Jun 2022 23:00,34253.0,34253.0,7173.0,609.0,0.0,39343.0,39313.0,0.0,0.0,0.0,-12871.0,142545.0,30.0,0.0,142545.0,0.0,-12871.0,-343493.0,0.0,-12777.0,4803.0,8186.0,0.0,0.0,838.0
Sat -04 Jun 2022 23:30,34071.0,34071.0,7173.0,609.0,0.0,39291.0,39257.0,0.0,0.0,0.0,-13001.0,147746.0,34.0,0.0,147746.0,0.0,-13001.0,-356363.0,0.0,-14729.0,5105.0,8127.0,0.0,0.0,880.0
Sun -05 Jun 2022 00:00,33012.0,33012.0,7173.0,609.0,0.0,22584.0,22544.0,2646.0,0.0,0.0,-0.0,146422.0,40.0,0.0,146422.0,2646.0,0.0,-366718.0,0.0,-6092.0,-1709.0,5659.0,0.0,0.0,1079.0
Sun -05 Jun 2022 00:30,31897.0,31897.0,7173.0,609.0,0.0,23986.0,23946.0,129.0,0.0,0.0,-0.0,146358.0,40.0,0.0,146358.0,129.0,0.0,-365927.0,0.0,-4718.0,-711.0,5635.0,0.0,0.0,1078.0
Sun -05 Jun 2022 01:00,30410.0,30410.0,7173.0,609.0,0.0,23986.0,23946.0,0.0,0.0,0.0,-1358.0,146901.0,40.0,0.0,146901.0,0.0,-1358.0,-365894.0,0.0,-4719.0,-239.0,5397.0,0.0,0.0,1099.0
Sun -05 Jun 2022 01:30,29886.0,29886.0,7173.0,609.0,0.0,26618.0,26579.0,0.0,0.0,0.0,-4513.0,148706.0,38.0,0.0,148706.0,0.0,-4513.0,-367252.0,0.0,-6434.0,926.0,5744.0,0.0,0.0,1056.0
Sun -05 Jun 2022 02:00,29151.0,29151.0,7173.0,609.0,0.0,26618.0,26579.0,0.0,0.0,0.0,-5248.0,150805.0,38.0,0.0,150805.0,0.0,-5248.0,-371765.0,0.0,-6392.0,1162.0,5690.0,0.0,0.0,1051.0
Sun -05 Jun 2022 02:30,28505.0,28505.0,7173.0,609.0,0.0,25385.0,25345.0,0.0,0.0,0.0,-4661.0,152670.0,40.0,0.0,152670.0,0.0,-4661.0,-377013.0,0.0,-4138.0,830.0,5375.0,0.0,0.0,1067.0
Sun -05 Jun 2022 03:00,28329.0,28329.0,7173.0,609.0,0.0,25385.0,25345.0,0.0,0.0,0.0,-4838.0,154605.0,40.0,0.0,154605.0,0.0,-4838.0,-381674.0,0.0,-4095.0,858.0,5417.0,0.0,0.0,1050.0
Sun -05 Jun 2022 03:30,27894.0,27894.0,7173.0,609.0,0.0,29246.0,29204.0,0.0,0.0,0.0,-9133.0,158258.0,41.0,0.0,158258.0,0.0,-9133.0,-386512.0,0.0,-7986.0,2629.0,5854.0,0.0,0.0,968.0
Sun -05 Jun 2022 04:00,28256.0,28256.0,7173.0,609.0,0.0,29246.0,29204.0,0.0,0.0,0.0,-8771.0,161766.0,41.0,0.0,161766.0,0.0,-8771.0,-395645.0,0.0,-7993.0,2445.0,6062.0,0.0,0.0,968.0
Sun -05 Jun 2022 04:30,28705.0,28705.0,7173.0,609.0,0.0,21859.0,21820.0,0.0,0.0,0.0,-936.0,162141.0,40.0,0.0,162141.0,0.0,-936.0,-404415.0,0.0,-2327.0,-692.0,5199.0,0.0,0.0,1060.0
Sun -05 Jun 2022 05:00,29657.0,29657.0,7173.0,609.0,0.0,21859.0,21820.0,16.0,0.0,0.0,-0.0,162132.0,40.0,0.0,162132.0,16.0,0.0,-405335.0,0.0,-2344.0,-1040.0,5348.0,0.0,0.0,1036.0
Sun -05 Jun 2022 05:30,30331.0,30331.0,7173.0,609.0,0.0,22302.0,22260.0,247.0,0.0,0.0,-0.0,162009.0,42.0,0.0,162009.0,247.0,0.0,-405084.0,0.0,-3311.0,-987.0,5480.0,0.0,0.0,997.0
Sun -05 Jun 2022 06:00,31359.0,31359.0,7173.0,609.0,0.0,22302.0,22260.0,1276.0,0.0,0.0,-0.0,161371.0,42.0,0.0,161371.0,1276.0,0.0,-403746.0,0.0,-3261.0,-1366.0,5484.0,0.0,0.0,984.0
Sun -05 Jun 2022 06:30,32799.0,32799.0,7173.0,609.0,17864.0,21830.0,21785.0,0.0,0.0,0.0,-14676.0,167241.0,45.0,0.0,167241.0,0.0,-14676.0,-403427.0,0.0,-588.0,5274.0,8062.0,0.0,0.0,727.0
Sun -05 Jun 2022 07:00,34246.0,34246.0,7173.0,609.0,17864.0,21830.0,21785.0,0.0,0.0,0.0,-13229.0,172533.0,45.0,0.0,172533.0,0.0,-13229.0,-418104.0,0.0,-664.0,4817.0,8270.0,0.0,0.0,673.0
Sun -05 Jun 2022 07:30,35442.0,35442.0,7173.0,609.0,41456.0,19638.0,19603.0,0.0,0.0,0.0,-33433.0,185907.0,35.0,0.0,185907.0,0.0,-33433.0,-431333.0,0.0,3109.0,2353.0,10193.0,0.0,0.0,281.0
Sun -05 Jun 2022 08:00,36947.0,36947.0,7173.0,609.0,41456.0,19638.0,19603.0,0.0,0.0,0.0,-31929.0,198678.0,35.0,0.0,198678.0,0.0,-31929.0,-464766.0,0.0,3113.0,1813.0,10292.0,0.0,0.0,247.0
Sun -05 Jun 2022 08:30,38186.0,38186.0,7173.0,609.0,50520.0,14892.0,14871.0,0.0,0.0,0.0,-35008.0,212681.0,21.0,0.0,212681.0,0.0,-35008.0,-496695.0,0.0,7412.0,-3430.0,11526.0,0.0,0.0,154.0
Sun -05 Jun 2022 09:00,39678.0,39678.0,7173.0,609.0,50520.0,14892.0,14871.0,0.0,0.0,0.0,-33516.0,226087.0,21.0,0.0,226087.0,0.0,-33516.0,-531703.0,0.0,7663.0,-3991.0,11495.0,0.0,0.0,164.0
Sun -05 Jun 2022 09:30,41584.0,41584.0,7173.0,609.0,54127.0,13933.0,13913.0,0.0,0.0,0.0,-34258.0,239790.0,20.0,0.0,239790.0,0.0,-34258.0,-565219.0,0.0,9813.0,-4950.0,11607.0,0.0,0.0,146.0
Sun -05 Jun 2022 10:00,42758.0,42758.0,7173.0,609.0,54127.0,13933.0,13913.0,0.0,0.0,0.0,-33083.0,253024.0,20.0,0.0,253024.0,0.0,-33083.0,-599476.0,0.0,9970.0,-5301.0,11572.0,0.0,0.0,161.0
Sun -05 Jun 2022 10:30,41895.0,41895.0,7173.0,609.0,56600.0,12290.0,12270.0,0.0,0.0,0.0,-34776.0,266934.0,20.0,0.0,266934.0,0.0,-34776.0,-632559.0,0.0,11172.0,-4716.0,11242.0,0.0,0.0,197.0
Sun -05 Jun 2022 11:00,43604.0,43604.0,7173.0,609.0,56600.0,12290.0,12270.0,0.0,0.0,0.0,-33067.0,280161.0,20.0,0.0,280161.0,0.0,-33067.0,-667336.0,0.0,11193.0,-5471.0,11630.0,0.0,0.0,194.0
Sun -05 Jun 2022 11:30,43072.0,43072.0,7173.0,609.0,55672.0,11990.0,11973.0,0.0,0.0,0.0,-32372.0,293110.0,18.0,0.0,293110.0,0.0,-32372.0,-700403.0,0.0,10545.0,-5251.0,11299.0,0.0,0.0,269.0
Sun -05 Jun 2022 12:00,42416.0,42416.0,7173.0,609.0,55672.0,11990.0,11973.0,0.0,0.0,0.0,-33027.0,306321.0,18.0,0.0,306321.0,0.0,-33027.0,-732774.0,0.0,10665.0,-5062.0,10981.0,0.0,0.0,308.0
Sun -05 Jun 2022 12:30,42320.0,42320.0,7173.0,609.0,50413.0,13042.0,13025.0,0.0,0.0,0.0,-28916.0,317887.0,18.0,0.0,317887.0,0.0,-28916.0,-765802.0,0.0,8262.0,-5903.0,10417.0,0.0,0.0,386.0
Sun -05 Jun 2022 13:00,41934.0,41934.0,7173.0,609.0,50413.0,13042.0,13025.0,0.0,0.0,0.0,-29303.0,329608.0,18.0,0.0,329608.0,0.0,-29303.0,-794718.0,0.0,8331.0,-5790.0,10229.0,0.0,0.0,404.0
Sun -05 Jun 2022 13:30,41751.0,41751.0,7173.0,609.0,48706.0,14539.0,14520.0,0.0,0.0,0.0,-29275.0,341318.0,19.0,0.0,341318.0,0.0,-29275.0,-824020.0,0.0,7004.0,-4625.0,10233.0,0.0,0.0,418.0
Sun -05 Jun 2022 14:00,42999.0,42999.0,7173.0,609.0,48706.0,7390.0,7351.0,0.0,0.0,0.0,-20879.0,349670.0,39.0,0.0,349670.0,0.0,-20879.0,-853295.0,0.0,12712.0,-8665.0,8914.0,0.0,0.0,522.0
Sun -05 Jun 2022 14:30,42522.0,42522.0,7173.0,609.0,37004.0,7931.0,7888.0,0.0,0.0,0.0,-10194.0,353747.0,43.0,0.0,353747.0,0.0,-10194.0,-874174.0,0.0,10066.0,-10718.0,7666.0,0.0,0.0,677.0
Sun -05 Jun 2022 15:00,42641.0,42641.0,7173.0,609.0,37004.0,7931.0,7888.0,0.0,0.0,0.0,-10075.0,357777.0,43.0,0.0,357777.0,0.0,-10075.0,-884368.0,0.0,10028.0,-10803.0,7756.0,0.0,0.0,650.0
Sun -05 Jun 2022 15:30,42938.0,42938.0,7173.0,609.0,12116.0,8313.0,8273.0,14727.0,0.0,0.0,-0.0,350414.0,41.0,0.0,350414.0,14727.0,0.0,-879716.0,0.0,4235.0,-15325.0,5763.0,0.0,0.0,960.0
Sun -05 Jun 2022 16:00,48146.0,48146.0,7173.0,609.0,12116.0,8313.0,8273.0,19936.0,0.0,0.0,-0.0,340446.0,41.0,0.0,340446.0,19936.0,0.0,-856099.0,0.0,4178.0,-17383.0,7082.0,0.0,0.0,857.0
Sun -05 Jun 2022 16:30,45847.0,45847.0,7173.0,609.0,0.0,9583.0,9545.0,28482.0,0.0,0.0,-0.0,326205.0,38.0,0.0,326205.0,28482.0,0.0,-822633.0,0.0,264.0,-10892.0,5272.0,0.0,0.0,1021.0
Sun -05 Jun 2022 17:00,49071.0,49071.0,7173.0,609.0,0.0,9583.0,9545.0,31707.0,0.0,0.0,-0.0,310351.0,38.0,0.0,310351.0,31707.0,0.0,-783805.0,0.0,302.0,-12397.0,6199.0,0.0,0.0,935.0
Sun -05 Jun 2022 17:30,47920.0,47920.0,7173.0,609.0,0.0,15703.0,15660.0,24436.0,0.0,0.0,-0.0,298134.0,43.0,0.0,298134.0,24436.0,0.0,-751443.0,0.0,-3041.0,-9226.0,6564.0,0.0,0.0,917.0
Sun -05 Jun 2022 18:00,46931.0,46931.0,7173.0,609.0,0.0,15703.0,15660.0,23446.0,0.0,0.0,-0.0,286411.0,43.0,0.0,286411.0,23446.0,0.0,-721888.0,0.0,-3041.0,-8903.0,6451.0,0.0,0.0,938.0
Sun -05 Jun 2022 18:30,44915.0,44915.0,7173.0,609.0,0.0,21549.0,21505.0,15584.0,0.0,0.0,-0.0,278619.0,45.0,0.0,278619.0,15584.0,0.0,-700443.0,0.0,-6586.0,-5666.0,6782.0,0.0,0.0,984.0
Sun -05 Jun 2022 19:00,42260.0,42260.0,7173.0,609.0,0.0,21549.0,21505.0,12930.0,0.0,0.0,-0.0,272154.0,45.0,0.0,272154.0,12930.0,0.0,-683617.0,0.0,-6544.0,-4729.0,6339.0,0.0,0.0,992.0
Sun -05 Jun 2022 19:30,39397.0,39397.0,7173.0,609.0,0.0,29201.0,29156.0,2415.0,0.0,0.0,-0.0,270946.0,45.0,0.0,270946.0,2415.0,0.0,-677970.0,0.0,-12443.0,-911.0,6825.0,0.0,0.0,864.0
Sun -05 Jun 2022 20:00,39018.0,39018.0,7173.0,609.0,0.0,29201.0,29156.0,2036.0,0.0,0.0,-0.0,269929.0,45.0,0.0,269929.0,2036.0,0.0,-675330.0,0.0,-12313.0,-997.0,6863.0,0.0,0.0,855.0
Sun -05 Jun 2022 20:30,38352.0,38352.0,7173.0,609.0,0.0,32402.0,32358.0,0.0,0.0,0.0,-1831.0,270661.0,45.0,0.0,270661.0,0.0,-1831.0,-674821.0,0.0,-14447.0,466.0,7194.0,0.0,0.0,819.0
Sun -05 Jun 2022 21:00,36229.0,36229.0,7173.0,609.0,0.0,32402.0,32358.0,0.0,0.0,0.0,-3955.0,272243.0,45.0,0.0,272243.0,0.0,-3955.0,-676652.0,0.0,-14518.0,1276.0,6787.0,0.0,0.0,865.0
Sun -05 Jun 2022 21:30,35074.0,35074.0,7173.0,609.0,0.0,26824.0,26778.0,468.0,0.0,0.0,-0.0,272009.0,47.0,0.0,272009.0,468.0,0.0,-680139.0,0.0,-10267.0,-701.0,5832.0,0.0,0.0,924.0
Sun -05 Jun 2022 22:00,35328.0,35328.0,7173.0,609.0,0.0,26824.0,26778.0,723.0,0.0,0.0,-0.0,271648.0,47.0,0.0,271648.0,723.0,0.0,-679300.0,0.0,-10338.0,-903.0,5987.0,0.0,0.0,935.0
Sun -05 Jun 2022 22:30,33954.0,33954.0,7173.0,609.0,0.0,23134.0,23089.0,3038.0,0.0,0.0,-0.0,270128.0,45.0,0.0,270128.0,3038.0,0.0,-676081.0,0.0,-8597.0,-1864.0,5267.0,0.0,0.0,1015.0
Sun -05 Jun 2022 23:00,33898.0,33898.0,7173.0,609.0,0.0,23134.0,23089.0,2983.0,0.0,0.0,-0.0,268637.0,45.0,0.0,268637.0,2983.0,0.0,-672338.0,0.0,-8772.0,-1979.0,5804.0,0.0,0.0,1017.0
Sun -05 Jun 2022 23:30,33571.0,33571.0,7173.0,609.0,0.0,22584.0,22544.0,3205.0,0.0,0.0,-0.0,267035.0,40.0,0.0,267035.0,3205.0,0.0,-668388.0,0.0,-6062.0,-1802.0,5739.0,0.0,0.0,1049.0
Mon -06 Jun 2022 00:00,31253.0,31253.0,7173.0,609.0,0.0,13043.0,13034.0,10428.0,0.0,0.0,-0.0,261820.0,9.0,0.0,261820.0,10428.0,0.0,-657158.0,0.0,-3902.0,-3077.0,4461.0,0.0,0.0,1341.0
Mon -06 Jun 2022 00:30,30390.0,30390.0,7173.0,609.0,0.0,11273.0,11265.0,11335.0,0.0,0.0,-0.0,256153.0,7.0,0.0,256153.0,11335.0,0.0,-643215.0,0.0,-3699.0,-3345.0,4081.0,0.0,0.0,1356.0
Mon -06 Jun 2022 01:00,29606.0,29606.0,7173.0,609.0,0.0,11273.0,11265.0,10552.0,0.0,0.0,-0.0,250877.0,7.0,0.0,250877.0,10552.0,0.0,-629829.0,0.0,-3710.0,-3140.0,3963.0,0.0,0.0,1345.0
Mon -06 Jun 2022 01:30,29189.0,29189.0,7173.0,609.0,0.0,10199.0,10193.0,11208.0,0.0,0.0,-0.0,245272.0,6.0,0.0,245272.0,11208.0,0.0,-615983.0,0.0,-3688.0,-3287.0,3748.0,0.0,0.0,1352.0
Mon -06 Jun 2022 02:00,28648.0,28648.0,7173.0,609.0,0.0,10199.0,10193.0,10667.0,0.0,0.0,-0.0,239939.0,6.0,0.0,239939.0,10667.0,0.0,-602513.0,0.0,-3629.0,-3134.0,3653.0,0.0,0.0,1344.0
Mon -06 Jun 2022 02:30,28284.0,28284.0,7173.0,609.0,0.0,9738.0,9731.0,10765.0,0.0,0.0,-0.0,234556.0,7.0,0.0,234556.0,10765.0,0.0,-589082.0,0.0,-3161.0,-2972.0,3504.0,0.0,0.0,1352.0
Mon -06 Jun 2022 03:00,28211.0,28211.0,7173.0,609.0,0.0,9738.0,9731.0,10692.0,0.0,0.0,-0.0,229210.0,7.0,0.0,229210.0,10692.0,0.0,-575699.0,0.0,-3101.0,-2970.0,3485.0,0.0,0.0,1351.0
