Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,eventPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,eventPowerLoss,eventDeficit,eventStorage,eventPHES-power,eventPHES-Charge,eventSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Wed -01 Jan 2020 00:00,9056.0,9056.0,0.0,0.0,0.0,3632.0,0.0,5424.0,0.0,0.0,-0.0,112690.0,3632.0,0.0,896073.0,47022.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 00:30,8888.0,8888.0,0.0,0.0,0.0,4181.0,0.0,4707.0,0.0,0.0,-0.0,110337.0,4181.0,0.0,876423.0,41834.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 01:00,8520.0,8520.0,0.0,0.0,0.0,4181.0,0.0,4338.0,0.0,0.0,-0.0,108168.0,4181.0,0.0,859069.0,38889.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 01:30,8173.0,8173.0,0.0,0.0,0.0,5437.0,0.0,2736.0,0.0,0.0,-0.0,106799.0,5437.0,0.0,846240.0,27328.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 02:00,7995.0,7995.0,0.0,0.0,0.0,5437.0,0.0,2558.0,0.0,0.0,-0.0,105520.0,5437.0,0.0,836007.0,25902.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 02:30,7980.0,7980.0,0.0,0.0,0.0,5718.0,0.0,2262.0,0.0,0.0,-0.0,104390.0,5718.0,0.0,826539.0,23810.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 03:00,7998.0,7998.0,0.0,0.0,0.0,5718.0,0.0,2280.0,0.0,0.0,-0.0,103250.0,5718.0,0.0,817420.0,23957.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 03:30,8107.0,8107.0,0.0,0.0,0.0,6192.0,0.0,1915.0,0.0,0.0,-0.0,102292.0,6192.0,0.0,809050.0,21509.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 04:00,8392.0,8392.0,0.0,0.0,0.0,6192.0,0.0,2200.0,0.0,0.0,-0.0,101192.0,6192.0,0.0,800249.0,23794.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 04:30,8526.0,8526.0,0.0,0.0,1436.0,6555.0,0.0,535.0,0.0,0.0,-0.0,100925.0,6555.0,0.0,797564.0,10837.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 05:00,8774.0,8774.0,0.0,0.0,1436.0,6555.0,0.0,783.0,0.0,0.0,-0.0,100533.0,6555.0,0.0,794431.0,12820.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 05:30,8874.0,8874.0,0.0,0.0,13516.0,6566.0,0.0,0.0,0.0,0.0,-11207.0,105016.0,6566.0,0.0,830935.0,0.0,-83094.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 06:00,9223.0,9223.0,0.0,0.0,13516.0,6566.0,0.0,0.0,0.0,0.0,-10858.0,109359.0,6566.0,0.0,865683.0,0.0,-80302.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 06:30,9595.0,9595.0,0.0,0.0,22030.0,6073.0,0.0,0.0,0.0,-4162.0,-14347.0,115098.0,6073.0,0.0,881156.0,0.0,-114126.0,-27870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 07:00,10295.0,10295.0,0.0,0.0,22030.0,6073.0,0.0,0.0,0.0,-3462.0,-14347.0,120837.0,6073.0,0.0,932383.0,0.0,-113426.0,-22972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 07:30,10818.0,10818.0,0.0,0.0,23356.0,5322.0,0.0,0.0,0.0,-3513.0,-14347.0,126575.0,5322.0,0.0,978769.0,0.0,-113754.0,-23801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
