Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,eventPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,eventPowerLoss,eventDeficit,eventStorage,eventPHES-power,eventPHES-Charge,eventSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Wed -01 Jan 2020 00:00,9056.0,9056.0,2419.0,129.0,0.0,5472.0,5472.0,1036.0,0.0,0.0,-0.0,270024.0,0.0,0.0,270024.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 00:30,8888.0,8888.0,2419.0,129.0,0.0,5947.0,5947.0,393.0,0.0,0.0,-0.0,269828.0,0.0,0.0,269828.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 01:00,8520.0,8520.0,2419.0,129.0,0.0,5947.0,5947.0,24.0,0.0,0.0,-0.0,269816.0,0.0,0.0,269816.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 01:30,8173.0,8173.0,2419.0,129.0,0.0,7121.0,7121.0,0.0,0.0,0.0,-1496.0,270414.0,0.0,0.0,270414.0,0.0,-1496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 02:00,7995.0,7995.0,2419.0,129.0,0.0,7121.0,7121.0,0.0,0.0,0.0,-1675.0,271084.0,0.0,0.0,271084.0,0.0,-1675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 02:30,7980.0,7980.0,2419.0,129.0,0.0,7676.0,7676.0,0.0,0.0,0.0,-2245.0,271982.0,0.0,0.0,271982.0,0.0,-2245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 03:00,7998.0,7998.0,2419.0,129.0,0.0,7676.0,7676.0,0.0,0.0,0.0,-2227.0,272873.0,0.0,0.0,272873.0,0.0,-2227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 03:30,8107.0,8107.0,2419.0,129.0,0.0,8856.0,8856.0,0.0,0.0,0.0,-3297.0,274192.0,0.0,0.0,274192.0,0.0,-3297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 04:00,8392.0,8392.0,2419.0,129.0,0.0,8856.0,8856.0,0.0,0.0,0.0,-3012.0,275396.0,0.0,0.0,275396.0,0.0,-3012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 04:30,8526.0,8526.0,2419.0,129.0,6183.0,9064.0,9064.0,0.0,0.0,0.0,-9269.0,279104.0,0.0,0.0,279104.0,0.0,-9269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 05:00,8774.0,8774.0,2419.0,129.0,6183.0,9064.0,9064.0,0.0,0.0,0.0,-9021.0,282713.0,0.0,0.0,282713.0,0.0,-9021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 05:30,8874.0,8874.0,2419.0,129.0,19561.0,8559.0,8559.0,0.0,0.0,-2388.0,-19406.0,290475.0,0.0,0.0,290475.0,0.0,-19406.0,-2388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
