Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,eventPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,eventPowerLoss,eventDeficit,eventStorage,eventPHES-power,eventPHES-Charge,eventSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Wed -01 Jan 2020 00:00,9056.0,9056.0,0.0,0.0,0.0,10062.0,8413.0,0.0,0.0,0.0,-1006.0,218529.0,1649.0,0.0,216155.0,643.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 00:30,8888.0,8888.0,0.0,0.0,0.0,11653.0,9251.0,0.0,0.0,0.0,-2765.0,219635.0,2402.0,0.0,214622.0,0.0,-363.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 01:00,8520.0,8520.0,0.0,0.0,0.0,11653.0,9251.0,0.0,0.0,0.0,-3134.0,220888.0,2402.0,0.0,213474.0,0.0,-731.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 01:30,8173.0,8173.0,0.0,0.0,0.0,12906.0,9463.0,0.0,0.0,0.0,-4733.0,222782.0,3443.0,0.0,211508.0,0.0,-1290.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 02:00,7995.0,7995.0,0.0,0.0,0.0,12906.0,9463.0,0.0,0.0,0.0,-4911.0,224746.0,3443.0,0.0,210029.0,0.0,-1468.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 02:30,7980.0,7980.0,0.0,0.0,0.0,15618.0,11832.0,0.0,0.0,0.0,-7638.0,227802.0,3786.0,0.0,209162.0,0.0,-3853.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 03:00,7998.0,7998.0,0.0,0.0,0.0,15618.0,11832.0,0.0,0.0,0.0,-7620.0,230850.0,3786.0,0.0,208424.0,0.0,-3834.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 03:30,8107.0,8107.0,0.0,0.0,0.0,16251.0,12323.0,0.0,0.0,0.0,-8145.0,234107.0,3928.0,0.0,207697.0,0.0,-4216.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 04:00,8392.0,8392.0,0.0,0.0,0.0,16251.0,12323.0,0.0,0.0,0.0,-7859.0,237251.0,3928.0,0.0,206912.0,0.0,-3931.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 04:30,8526.0,8526.0,0.0,0.0,3339.0,16793.0,12846.0,0.0,0.0,0.0,-11606.0,241893.0,3947.0,0.0,207601.0,0.0,-7660.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 05:00,8774.0,8774.0,0.0,0.0,3339.0,16793.0,12846.0,0.0,0.0,0.0,-11358.0,246437.0,3947.0,0.0,208197.0,0.0,-7412.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 05:30,8874.0,8874.0,0.0,0.0,13432.0,16685.0,12695.0,0.0,0.0,-7315.0,-13927.0,252008.0,3990.0,0.0,204042.0,0.0,-13927.0,-3325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wed -01 Jan 2020 06:00,9223.0,9223.0,0.0,0.0,13432.0,16685.0,12695.0,0.0,0.0,-6966.0,-13927.0,257579.0,3990.0,0.0,198656.0,0.0,-13927.0,-2976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
