Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,eventPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,eventPowerLoss,eventDeficit,eventStorage,eventPHES-power,eventPHES-Charge,eventSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Sat -11 Jan 2020 07:00,11275.0,11275.0,2419.0,129.0,23109.0,5903.0,5795.0,0.0,0.0,-880.0,-19406.0,529838.0,108.0,0.0,529838.0,0.0,-19406.0,-880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -11 Jan 2020 07:30,11879.0,11879.0,2419.0,129.0,29592.0,4639.0,4466.0,0.0,0.0,-5496.0,-19406.0,537600.0,173.0,0.0,537600.0,0.0,-19406.0,-5496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -11 Jan 2020 08:00,12931.0,12931.0,2419.0,129.0,29592.0,4639.0,4466.0,0.0,0.0,-15138.0,-8710.0,541084.0,173.0,0.0,541084.0,0.0,-8710.0,-15138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -11 Jan 2020 08:30,13771.0,13771.0,2419.0,129.0,29966.0,3355.0,3030.0,0.0,0.0,-22099.0,-0.0,541084.0,326.0,0.0,541084.0,0.0,-0.0,-22099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -11 Jan 2020 09:00,14561.0,14561.0,2419.0,129.0,29966.0,3355.0,3030.0,0.0,0.0,-21308.0,-0.0,541084.0,326.0,0.0,541084.0,0.0,-0.0,-21308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -11 Jan 2020 09:30,14332.0,14332.0,2419.0,129.0,29475.0,2489.0,1964.0,0.0,0.0,-20180.0,-0.0,541084.0,526.0,0.0,541084.0,0.0,-0.0,-20180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -11 Jan 2020 10:00,15241.0,15241.0,2419.0,129.0,29475.0,2489.0,1964.0,0.0,0.0,-19271.0,-0.0,541084.0,526.0,0.0,541084.0,0.0,-0.0,-19271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -11 Jan 2020 10:30,15027.0,15027.0,2419.0,129.0,27519.0,2475.0,1471.0,0.0,0.0,-17515.0,-0.0,541084.0,1004.0,0.0,541084.0,0.0,-0.0,-17515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -11 Jan 2020 11:00,14942.0,14942.0,2419.0,129.0,27519.0,2475.0,1471.0,0.0,0.0,-17600.0,-0.0,541084.0,1004.0,0.0,541084.0,0.0,-0.0,-17600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat -11 Jan 2020 11:30,14976.0,14976.0,2419.0,129.0,25359.0,2261.0,1182.0,0.0,0.0,-15192.0,-0.0,541084.0,1079.0,0.0,541084.0,0.0,-0.0,-15192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
