Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,eventWind,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,eventDeficit,eventStorage,eventPHES-power,eventPHES-Charge,eventSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC,eventH&B
Tue -20 Jun 2028 10:00,50377.0,50377.0,1000.0,0.0,194202.0,9.0,0.0,0.0,0.0,-58336.0,-86499.0,844718.0,0.0,844718.0,0.0,-86499.0,-58336.0,0.0,23984.0,-96048.0,31001.0,0.0,0.0,-1836.0,1000.0
Tue -20 Jun 2028 10:30,48215.0,48215.0,1000.0,0.0,193044.0,10.0,0.0,0.0,0.0,-59340.0,-86499.0,879317.0,0.0,879317.0,0.0,-86499.0,-59340.0,0.0,23146.0,-94235.0,30826.0,0.0,0.0,-1726.0,1000.0
Tue -20 Jun 2028 11:00,48390.0,48390.0,1000.0,0.0,193044.0,10.0,0.0,0.0,0.0,-59165.0,-86499.0,913917.0,0.0,913917.0,0.0,-86499.0,-59165.0,0.0,23251.0,-94524.0,30944.0,0.0,0.0,-1719.0,1000.0
Tue -20 Jun 2028 11:30,47082.0,47082.0,1000.0,0.0,187546.0,10.0,0.0,0.0,0.0,-54975.0,-86499.0,948516.0,0.0,948516.0,0.0,-86499.0,-54975.0,0.0,23339.0,-93481.0,30305.0,0.0,0.0,-1657.0,1000.0
Tue -20 Jun 2028 12:00,47648.0,47648.0,1000.0,0.0,187546.0,10.0,0.0,0.0,0.0,-54410.0,-86499.0,983116.0,0.0,983116.0,0.0,-86499.0,-54410.0,0.0,23448.0,-93804.0,30230.0,0.0,0.0,-1672.0,1000.0
Tue -20 Jun 2028 12:30,46866.0,46866.0,1000.0,0.0,171711.0,11.0,0.0,0.0,0.0,-39357.0,-86499.0,1017715.0,0.0,1017715.0,0.0,-86499.0,-39357.0,0.0,23831.0,-90182.0,26471.0,0.0,0.0,-1620.0,1000.0
Tue -20 Jun 2028 13:00,47153.0,47153.0,1000.0,0.0,171711.0,11.0,0.0,0.0,0.0,-39070.0,-86499.0,1052314.0,0.0,1052314.0,0.0,-86499.0,-39070.0,0.0,23924.0,-90404.0,26369.0,0.0,0.0,-1541.0,1000.0
Tue -20 Jun 2028 13:30,46835.0,46835.0,1000.0,0.0,137691.0,11.0,0.0,0.0,0.0,-5368.0,-86499.0,1086914.0,0.0,1086914.0,0.0,-86499.0,-5368.0,0.0,24738.0,-78453.0,13753.0,0.0,0.0,-1598.0,1000.0
Tue -20 Jun 2028 14:00,49603.0,49603.0,1000.0,0.0,137691.0,10.0,0.0,0.0,0.0,-8225.0,-80872.0,1119263.0,0.0,1119263.0,0.0,-80872.0,-8225.0,0.0,24629.0,-79142.0,14942.0,0.0,0.0,-1648.0,1000.0
Tue -20 Jun 2028 14:30,51256.0,51256.0,1000.0,0.0,100682.0,9.0,0.0,0.0,0.0,-50435.0,-0.0,1119263.0,0.0,1119263.0,0.0,-0.0,-50435.0,0.0,14867.0,-61199.0,28691.0,0.0,0.0,-1018.0,7781.0
Tue -20 Jun 2028 15:00,54565.0,54565.0,1000.0,0.0,100682.0,9.0,0.0,0.0,0.0,-47126.0,-0.0,1119263.0,0.0,1119263.0,0.0,-0.0,-47126.0,0.0,15404.0,-61742.0,27373.0,0.0,0.0,-1112.0,7781.0
Tue -20 Jun 2028 15:30,56417.0,56417.0,7173.0,609.0,6836.0,9.0,0.0,41791.0,0.0,0.0,0.0,1098367.0,0.0,1098367.0,41791.0,-0.0,-0.0,0.0,6642.0,-12948.0,741.0,0.0,0.0,512.0,7781.0
Tue -20 Jun 2028 16:00,58665.0,58665.0,7173.0,609.0,6836.0,9.0,0.0,44039.0,0.0,0.0,0.0,1076348.0,0.0,1076348.0,44039.0,-0.0,-0.0,0.0,6683.0,-13271.0,777.0,0.0,0.0,449.0,7781.0
Tue -20 Jun 2028 16:30,59208.0,59208.0,7173.0,609.0,0.0,9.0,0.0,51418.0,0.0,0.0,0.0,1050639.0,0.0,1050639.0,51418.0,-0.0,-0.0,0.0,5528.0,-8252.0,-1304.0,0.0,0.0,451.0,7781.0
Tue -20 Jun 2028 17:00,62385.0,62385.0,7173.0,609.0,0.0,9.0,0.0,54595.0,0.0,0.0,0.0,1023341.0,0.0,1023341.0,54595.0,-0.0,-0.0,0.0,5733.0,-8969.0,-1154.0,0.0,0.0,309.0,7781.0
Tue -20 Jun 2028 17:30,63154.0,63154.0,7173.0,609.0,0.0,9.0,0.0,55364.0,0.0,0.0,0.0,995659.0,0.0,995659.0,55364.0,-0.0,-0.0,0.0,5777.0,-8881.0,-1381.0,0.0,0.0,278.0,7781.0
Tue -20 Jun 2028 18:00,61148.0,61148.0,7173.0,609.0,0.0,9.0,0.0,53357.0,0.0,0.0,0.0,968981.0,0.0,968981.0,53357.0,-0.0,-0.0,0.0,5596.0,-8309.0,-1506.0,0.0,0.0,297.0,7781.0
Tue -20 Jun 2028 18:30,56944.0,56944.0,7173.0,609.0,0.0,9.0,0.0,49153.0,0.0,0.0,0.0,944404.0,0.0,944404.0,49153.0,-0.0,-0.0,0.0,5252.0,-7489.0,-1645.0,0.0,0.0,369.0,7781.0
Tue -20 Jun 2028 19:00,53429.0,53429.0,7173.0,609.0,0.0,9.0,0.0,45638.0,0.0,0.0,0.0,921585.0,0.0,921585.0,45638.0,-0.0,-0.0,0.0,4955.0,-6981.0,-1411.0,0.0,0.0,454.0,7781.0
Tue -20 Jun 2028 19:30,49900.0,49900.0,7173.0,609.0,0.0,9.0,0.0,42110.0,0.0,0.0,0.0,900530.0,0.0,900530.0,42110.0,-0.0,-0.0,0.0,4663.0,-6438.0,-1375.0,0.0,0.0,511.0,7781.0
Tue -20 Jun 2028 20:00,47357.0,47357.0,7173.0,609.0,0.0,9.0,0.0,39566.0,0.0,0.0,0.0,880747.0,0.0,880747.0,39566.0,-0.0,-0.0,0.0,4536.0,-6115.0,-1276.0,0.0,0.0,552.0,7781.0
Tue -20 Jun 2028 20:30,46121.0,46121.0,7173.0,609.0,0.0,9.0,0.0,38331.0,0.0,0.0,0.0,861582.0,0.0,861582.0,38331.0,-0.0,-0.0,0.0,4474.0,-6055.0,-1099.0,0.0,0.0,583.0,7781.0
Tue -20 Jun 2028 21:00,44558.0,44558.0,7173.0,609.0,0.0,9.0,0.0,36767.0,0.0,0.0,0.0,843198.0,0.0,843198.0,36767.0,-0.0,-0.0,0.0,4353.0,-5779.0,-1004.0,0.0,0.0,624.0,7781.0
