Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,eventPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,eventPowerLoss,eventDeficit,eventStorage,eventPHES-power,eventPHES-Charge,eventSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Tue -13 Jul 2027 10:00,45059.0,45059.0,7173.0,609.0,49819.0,23659.0,18572.0,0.0,0.0,-36200.0,-0.0,552372.0,5087.0,0.0,552372.0,0.0,-0.0,-36200.0,0.0,-1812.0,-4506.0,9924.0,0.0,0.0,480.0
Tue -13 Jul 2027 10:30,43086.0,43086.0,7173.0,609.0,56735.0,19431.0,15626.0,0.0,0.0,-40861.0,-0.0,552372.0,3806.0,0.0,552372.0,0.0,-0.0,-40861.0,0.0,181.0,-3939.0,9281.0,0.0,0.0,583.0
Tue -13 Jul 2027 11:00,43593.0,43593.0,7173.0,609.0,56735.0,19431.0,15626.0,0.0,0.0,-40355.0,-0.0,552372.0,3806.0,0.0,552372.0,0.0,-0.0,-40355.0,0.0,323.0,-4204.0,9698.0,0.0,0.0,585.0
Tue -13 Jul 2027 11:30,42463.0,42463.0,7173.0,609.0,48919.0,20396.0,16221.0,0.0,0.0,-34634.0,-0.0,552372.0,4175.0,0.0,552372.0,0.0,-0.0,-34634.0,0.0,-774.0,-4533.0,9296.0,0.0,0.0,631.0
Tue -13 Jul 2027 12:00,43252.0,43252.0,7173.0,609.0,48919.0,20396.0,16221.0,0.0,0.0,-33844.0,-0.0,552372.0,4175.0,0.0,552372.0,0.0,-0.0,-33844.0,0.0,-755.0,-4900.0,9787.0,0.0,0.0,627.0
Tue -13 Jul 2027 12:30,42586.0,42586.0,7173.0,609.0,49586.0,17486.0,13765.0,0.0,0.0,-32268.0,-0.0,552372.0,3722.0,0.0,552372.0,0.0,-0.0,-32268.0,0.0,840.0,-4815.0,9543.0,0.0,0.0,655.0
Tue -13 Jul 2027 13:00,43254.0,43254.0,7173.0,609.0,49586.0,17486.0,13765.0,0.0,0.0,-31599.0,-0.0,552372.0,3722.0,0.0,552372.0,0.0,-0.0,-31599.0,0.0,792.0,-5074.0,9937.0,0.0,0.0,670.0
Tue -13 Jul 2027 13:30,42919.0,42919.0,7173.0,609.0,46356.0,16079.0,12502.0,0.0,0.0,-27297.0,-0.0,552372.0,3577.0,0.0,552372.0,0.0,-0.0,-27297.0,0.0,1043.0,-5032.0,9715.0,0.0,0.0,673.0
Tue -13 Jul 2027 14:00,45593.0,45593.0,7173.0,609.0,46356.0,28659.0,8668.0,0.0,0.0,-37204.0,-0.0,552372.0,19990.0,0.0,552372.0,0.0,-0.0,-37204.0,0.0,4936.0,-4244.0,10395.0,0.0,0.0,728.0
Tue -13 Jul 2027 14:30,47057.0,47057.0,7173.0,609.0,37801.0,25088.0,6018.0,0.0,0.0,-23614.0,-0.0,552372.0,19070.0,0.0,552372.0,0.0,-0.0,-23614.0,0.0,6212.0,-4376.0,10748.0,0.0,0.0,718.0
Tue -13 Jul 2027 15:00,50080.0,50080.0,7173.0,609.0,37801.0,25088.0,6018.0,0.0,0.0,-20590.0,-0.0,552372.0,19070.0,0.0,552372.0,0.0,-0.0,-20590.0,0.0,6526.0,-4776.0,11652.0,0.0,0.0,645.0
Tue -13 Jul 2027 15:30,52107.0,52107.0,7173.0,609.0,16554.0,20166.0,6799.0,7606.0,0.0,0.0,-0.0,548569.0,13367.0,0.0,548569.0,7606.0,-0.0,0.0,0.0,4615.0,-7068.0,11177.0,0.0,0.0,801.0
Tue -13 Jul 2027 16:00,54351.0,54351.0,7173.0,609.0,16554.0,20166.0,6799.0,9850.0,0.0,0.0,-0.0,543644.0,13367.0,0.0,543644.0,9850.0,-0.0,0.0,0.0,4566.0,-7316.0,11710.0,0.0,0.0,764.0
Tue -13 Jul 2027 16:30,54500.0,54500.0,7173.0,609.0,2.0,21456.0,7419.0,25261.0,0.0,0.0,-0.0,531013.0,14037.0,0.0,531013.0,25261.0,-0.0,0.0,0.0,1682.0,-2420.0,9636.0,0.0,0.0,947.0
Tue -13 Jul 2027 17:00,57599.0,57599.0,7173.0,609.0,2.0,21456.0,7419.0,28359.0,0.0,0.0,-0.0,516834.0,14037.0,0.0,516834.0,28359.0,-0.0,0.0,0.0,1584.0,-3103.0,10787.0,0.0,0.0,841.0
Tue -13 Jul 2027 17:30,57981.0,57981.0,7173.0,609.0,0.0,21459.0,11132.0,28741.0,0.0,0.0,-0.0,502463.0,10327.0,0.0,502463.0,28741.0,-0.0,0.0,0.0,-2060.0,-3149.0,10781.0,0.0,0.0,801.0
Tue -13 Jul 2027 18:00,56006.0,56006.0,7173.0,609.0,0.0,21459.0,11132.0,26765.0,0.0,0.0,-0.0,489081.0,10327.0,0.0,489081.0,26765.0,-0.0,0.0,0.0,-2121.0,-2615.0,10309.0,0.0,0.0,820.0
Tue -13 Jul 2027 18:30,52062.0,52062.0,7173.0,609.0,0.0,22947.0,14152.0,21333.0,0.0,0.0,-0.0,478414.0,8795.0,0.0,478414.0,21333.0,-0.0,0.0,0.0,-5076.0,-1448.0,9651.0,0.0,0.0,800.0
