,station no.,station name,latitude,longitude,altitude,meanSpeed-100m,scaleFactor,meanSpeed-10m,startTime,meanRes,Observations,1-in-5-year duration,1-in-10-year duration,1-in-20-year duration,1-in-25-year duration,1-in-50-year duration,1-in-100-year duration
0,046012,WILCANNIA AERODROME AWS                 ,-31.5194,143.385,94.3,6.71817,1.5532303593202021,4.32528898608185,2000-01-19 14:00:00,29.999778966666668,337043,7.0,8.0,8.0,8.0,9.0,9.0
1,046126,TIBOOBURRA AIRPORT                      ,-29.4448,142.0567,176.4,6.8355446,1.4524444277091573,4.706234851933636,1997-09-21 16:00:00,29.999933016666667,311044,6.0,7.0,8.0,8.0,8.0,9.0
2,046128,FOWLERS GAP AWS                         ,-31.0863,141.7008,181.0,7.20423,1.67380824628288,4.304095076418935,2004-10-26 18:00:00,29.999907266666664,246974,9.0,9.0,10.0,10.0,11.0,11.0
3,046129,WHITE CLIFFS AWS                        ,-30.8522,143.0743,158.0,7.044349,1.4696491699341039,4.7932182303677635,2005-07-05 18:00:00,29.99990366666667,247031,7.0,8.0,8.0,8.0,9.0,9.0
4,047048,BROKEN HILL AIRPORT AWS                 ,-32.0012,141.4694,281.3,7.2803807,1.54452248936156,4.713677383143833,1989-01-01 13:30:00,29.99960056666667,412621,11.0,12.0,12.0,13.0,13.0,14.0
5,048027,COBAR MO                                ,-31.484,145.8294,260.0,7.035547,2.142834558977437,3.2832897668917282,1989-01-18 16:30:00,29.95861035,388321,9.0,9.0,10.0,10.0,11.0,11.0
6,048237,COBAR AIRPORT AWS                       ,-31.5388,145.7964,218.0,6.9146757,1.9921020996073386,3.4710448394931137,1993-09-19 07:30:00,29.815431349999997,363804,8.0,9.0,9.0,10.0,10.0,11.0
7,048244,COBAR COMPARISON                        ,-31.4861,145.8281,260.0,7.022478,2.2774671651168816,3.0834596481558036,2000-01-15 00:30:00,29.8514146,192,5.0,5.0,6.0,6.0,6.0,7.0
8,048245,BOURKE AIRPORT AWS                      ,-30.0362,145.9521,107.3,6.5867133,1.7964952174921043,3.6664240738984017,1999-02-04 14:00:00,29.999787700000002,334603,7.0,7.0,8.0,8.0,9.0,9.0
9,049000,IVANHOE AERODROME AWS                   ,-32.8833,144.3092,100.0,6.7661037,1.6756585424009818,4.037877391662365,2000-07-24 13:00:00,29.99992465,290675,6.0,7.0,7.0,7.0,8.0,9.0
10,050017,WEST WYALONG AIRPORT AWS                ,-33.9382,147.1962,257.0,6.160394,1.7269384336578046,3.5672344026148615,1999-04-30 18:00:00,29.999928533333332,303957,8.0,8.0,9.0,9.0,10.0,10.0
11,050137,CONDOBOLIN AIRPORT AWS                  ,-33.0682,147.2133,192.6,6.2185802,1.7069164935611674,3.64316606549261,1993-06-15 00:00:00,29.999942616666665,384385,8.0,9.0,9.0,10.0,10.0,11.0
12,051049,TRANGIE RESEARCH STATION AWS            ,-31.9861,147.9489,215.0,6.804929,1.992024359019688,3.416087132062422,1997-10-10 10:00:00,29.999932883333333,324756,9.0,10.0,10.0,11.0,11.0,12.0
13,051161,COONAMBLE AIRPORT AWS                   ,-30.9776,148.3798,181.3,6.300622,1.5701081906739833,4.012858492053698,1997-09-17 10:00:00,29.99993305,320949,6.0,6.0,7.0,7.0,8.0,8.0
14,052088,WALGETT AIRPORT AWS                     ,-30.0372,148.1223,133.0,6.490273,1.7436664019790453,3.7221988055991755,1997-05-23 10:00:00,29.99993388333333,359181,7.0,8.0,8.0,9.0,9.0,10.0
15,053000,MOREE AUTOSONDE                         ,-29.4917,149.8461,213.0,5.68134,1.8875748678680468,3.009862185761785,2000-06-30 11:00:00,29.144011433333333,16068,5.0,6.0,6.0,6.0,7.0,7.0
16,053115,MOREE AERO                              ,-29.4898,149.8471,213.0,5.6745696,1.4232009736444662,3.987187833528412,1989-01-06 12:30:00,29.987767833333333,462894,5.0,6.0,6.0,6.0,7.0,7.0
17,054038,NARRABRI AIRPORT AWS                    ,-30.3154,149.8302,229.0,5.81251,1.4783943792424543,3.9316369807620055,2001-07-13 15:00:00,29.9999213,311683,7.0,7.0,8.0,8.0,9.0,9.0
18,055024,GUNNEDAH RESOURCE CENTRE                ,-31.0261,150.2687,307.3,4.7722683,,,,,,,,,,,
19,055202,GUNNEDAH AIRPORT AWS                    ,-30.9537,150.2494,262.6,4.8859096,1.3852932624159988,3.5269857220133565,2001-09-14 09:00:00,29.99936508333333,286633,4.0,4.0,5.0,5.0,6.0,6.0
20,055325,TAMWORTH AIRPORT AWS                    ,-31.0742,150.8362,394.9,4.44476,1.301401571902856,3.415363821356614,1989-01-01 18:00:00,29.999151233333336,346076,2.0,3.0,3.0,4.0,4.0,5.0
21,056018,INVERELL RESEARCH CENTRE                ,-29.7752,151.082,664.0,4.4586205,1.647498050672714,2.7062979203087534,2002-12-18 10:30:00,29.999747266666667,288975,4.0,5.0,6.0,6.0,7.0,8.0
22,056238,ARMIDALE AIRPORT AWS                    ,-30.5273,151.6158,1079.0,6.852955,1.5396769977955087,4.450904231416026,1993-06-19 11:00:00,29.86184198333333,431938,8.0,9.0,9.0,10.0,10.0,11.0
23,056243,GLEN INNES AIRPORT AWS                  ,-29.678,151.694,1044.3,6.608227,1.540035480874394,4.290957486493142,1996-10-16 10:00:00,29.99993538333333,334607,8.0,8.0,9.0,9.0,10.0,10.0
24,058009,BYRON BAY (CAPE BYRON LIGHTHOUSE)       ,-28.6388,153.6361,95.0,7.9893312,1.3220079541442098,6.043330692812803,1994-06-28 03:00:00,30.000203366666664,22229,2.0,2.0,3.0,3.0,4.0,4.0
25,058012,YAMBA PILOT STATION                     ,-29.4325,153.3632,27.4,7.1609964,1.8328044611174739,3.9071251674642062,2007-10-10 14:00:00,29.9998896,234956,11.0,12.0,13.0,13.0,13.0,14.0
26,058077,GRAFTON RESEARCH STN                    ,-29.6224,152.9605,25.0,4.9202986,1.8536765321890587,2.6543458316022708,2002-08-30 09:00:00,29.999916983333332,337899,7.0,7.0,8.0,8.0,9.0,9.0
27,058161,GRAFTON AIRPORT AWS                     ,-29.7583,153.0297,25.1,4.696321,2.0171881456882015,2.3281521957325215,2006-04-07 12:00:00,29.9998994,281959,7.0,7.0,8.0,8.0,9.0,9.0
28,058198,BALLINA AIRPORT AWS                     ,-28.8353,153.5585,1.3,5.639257,1.495902808394174,3.7698017027234276,1995-07-23 13:30:00,29.990619366666667,352445,6.0,7.0,8.0,8.0,9.0,9.0
29,058208,CASINO AIRPORT AWS                      ,-28.8824,153.0618,20.9,5.3796363,1.8863823972369105,2.8518270185138825,1995-07-20 10:00:00,29.999938283333332,370295,6.0,7.0,7.0,8.0,8.0,9.0
