,station no.,station name,latitude,longitude,altitude,meanSpeed-100m,meanDuration,highWindFrac,scaleFactor,meanSpeed-10m,startTime_x,meanRes_x,Observations,gustObs,stormCount,startTime_y,meanRes_y,durationGoodness,paretoGoodness
0,014015,DARWIN AIRPORT                          ,-12.4239,130.8925,30.4,4.5577235,9.833333333333334,0.0010081719572304,1.3114549376022344,3.475318435659923,1985-01-02 01:30:00,29.9985693,455956.0,455969,10,1985-01-02 01:30:00,29.9985693,,0.5445544554455446
1,014031,CHARLES POINT                           ,-12.3895,130.6306,14.0,5.0594335,12.038461538461538,0.0062164088197658,1.8312749610009216,2.7627929000188245,2006-01-06 13:00:00,29.99990085,193461.0,193461,153,2006-01-06 13:00:00,29.99990085,,0.009900990099009901
2,014041,MIDDLE POINT                            ,-12.605,131.2988,14.1,4.4731894,7.0,0.005466681437859,1.9392466549240932,2.306663436847832,2001-08-07 15:30:00,29.99992105,296306.0,296307,30,2001-08-07 15:30:00,29.99992105,,0.019801980198019802
3,014046,NOONAMAH AWS                            ,-12.6365,131.0714,26.9,4.8307443,7.421052631578948,0.0325049231033012,2.857012195747465,1.6908378178085333,2008-11-11 13:30:00,29.99962483333333,64172.0,64172,174,2008-11-11 13:30:00,29.999624833333332,,0.009900990099009901
4,014072,DARWIN NTC AWS                          ,-12.4719,130.8458,0.0,5.098608,7.272727272727272,0.0025001952310382,1.5439652302477798,3.3022816298457283,2012-08-16 10:00:00,29.99983933333333,178428.0,178428,24,2012-08-16 10:00:00,29.999839333333334,,0.009900990099009901
5,014142,PIRLANGIMPI AIRPORT                     ,-11.4021,130.4217,18.3,4.577474,6.496815286624204,0.0207687409440364,2.763132087739307,1.6566251528801048,2006-01-11 22:30:00,29.999900766666663,261431.0,261431,402,2006-01-11 22:30:00,29.999900766666666,,0.009900990099009901
6,014198,JABIRU AIRPORT                          ,-12.6592,132.894,26.5,4.524206,9.0,0.0077422826557675,1.9330457946401616,2.340454723857801,1993-07-01 09:30:00,29.999942533333336,333700.0,333700,15,1993-07-01 09:30:00,29.999942533333336,,0.5841584158415841
7,014245,CAPE DON                                ,-11.3081,131.7651,19.0,5.2343674,0.0,0.0075079257597552,1.671003931622934,3.132468614554173,2005-12-19 09:30:00,29.97679128333333,77091.0,77091,0,2005-12-19 09:30:00,29.976791283333334,,
8,014254,POINT STUART                            ,-12.2403,131.8785,1.0,5.1842422,8.4,0.0035974301517418,1.5277712364472318,3.3933367279455364,2003-03-09 16:30:00,29.999914816666667,177657.0,177657,7,2003-03-09 16:30:00,29.999914816666667,,0.25742574257425743
9,014272,BATCHELOR AIRPORT                       ,-13.0544,131.0252,104.0,5.300636,7.082375478927203,0.0340952311525488,2.7474870804271614,1.929266875330544,1993-07-07 12:30:00,29.983047916666667,341066.0,341066,999,1993-07-07 12:30:00,29.983047916666667,,0.009900990099009901
10,014274,MCCLUER ISLAND                          ,-11.0468,132.9791,1.4,6.837427,7.333333333333333,0.0028646875143168,1.0482283716469485,6.522841132929311,2001-01-08 10:30:00,29.406301016666664,201410.0,201410,4,2001-01-08 10:30:00,29.406301016666664,,0.5445544554455446
11,014277,DUM IN MIRRIE AIRSTRIP                  ,-12.635,130.3725,3.5,5.242257,10.39655172413793,0.01804544924394,2.373981240028161,2.2082133716283763,2000-10-19 22:30:00,29.715452866666663,271159.0,271159,163,2000-10-19 22:30:00,29.715452866666666,,0.009900990099009901
12,014299,NGUKURR AIRPORT                         ,-14.7236,134.7456,14.5,5.0035133,7.066666666666666,0.0205939246404902,2.2609150598776915,2.2130479047949354,2012-07-02 09:30:00,29.999841166666663,185183.0,185183,200,2012-07-02 09:30:00,29.999841166666666,,0.009900990099009901
13,014308,CROKER ISLAND AIRPORT                   ,-11.1629,132.4813,9.2,5.761167,7.892857142857143,0.0099976860682133,1.755470380349739,3.2818366597903936,2012-09-26 09:00:00,29.999837616666664,181617.0,181617,76,2012-09-26 09:00:00,29.999837616666664,,0.009900990099009901
14,014309,MURGANELLA AIRSTRIP                     ,-11.5485,132.9266,9.5,4.490924,6.788300835654596,0.0338402962449212,2.961678844408386,1.5163439783518635,2012-10-10 09:30:00,29.99983703333333,175757.0,175757,840,2012-10-10 09:30:00,29.999837033333332,,0.009900990099009901
15,014310,OENPELLI AIRPORT                        ,-12.3272,133.0069,7.5,4.7665987,5.6625,0.018014835786497,2.49548414840426,1.9100897533350625,2012-09-26 09:00:00,29.999837616666664,178962.0,178962,230,2012-09-26 09:00:00,29.999837616666664,,0.009900990099009901
16,014314,NOONAMAH AIRSTRIP                       ,-12.6099,131.0474,17.5,4.6809344,6.99672131147541,0.0264057988066012,2.978139824157278,1.571764492452352,2013-06-21 11:30:00,29.999825466666667,171172.0,171172,646,2013-06-21 11:30:00,29.999825466666667,,0.009900990099009901
17,014401,WARRUWI AIRPORT                         ,-11.65,133.3797,19.2,6.4756436,7.4,0.0260257341695646,1.916044685047723,3.379693430602248,2000-08-15 09:30:00,29.981882366666664,301302.0,301302,53,2000-08-15 09:30:00,29.981882366666664,,0.009900990099009901
18,014402,MILINGIMBI                              ,-12.1239,134.9078,4.0,6.1092567,0.0,0.0063545655754738,1.9014713353398844,3.212910250520683,2000-12-13 14:00:00,29.9993434,26044.0,26044,2,2000-12-13 14:00:00,29.9993434,,0.5742574257425742
19,014404,MILINGIMBI AIRPORT                      ,-12.0932,134.8919,15.0,6.0165496,11.0,0.0166756908433227,1.9416333501200835,3.098705317807635,2003-07-23 11:30:00,29.999913216666663,261080.0,261080,50,2003-07-23 11:30:00,29.999913216666666,,0.009900990099009901
20,014405,MANINGRIDA AIRPORT                      ,-12.0569,134.2339,28.1,5.8682203,8.625,0.0083129262277799,1.713114005317505,3.425469823414972,2003-10-24 11:30:00,29.99991208333333,266916.0,266916,18,2003-10-24 11:30:00,29.999912083333335,,0.49504950495049505
21,014508,GOVE AIRPORT                            ,-12.2741,136.8201,51.6,5.5537825,6.769230769230769,0.0122412608712698,1.526101245929488,3.6391965984479233,1990-08-01 13:00:00,29.847215866666662,439636.0,439636,42,1990-08-01 13:00:00,29.847215866666666,,0.009900990099009901
22,014517,NGAYAWILI                               ,-11.9971,135.5726,8.1,5.8002973,16.333333333333332,0.0046918459421924,1.3759341778905614,4.21553396484186,2000-07-27 16:30:00,29.999246366666668,222544.0,222544,24,2000-07-27 16:30:00,29.999246366666668,,0.009900990099009901
23,014518,GROOTE EYLANDT AIRPORT                  ,-13.9746,136.463,13.7,5.281167,7.333333333333333,0.0244901293057223,2.15809597402838,2.44714187593634,2000-07-24 12:30:00,29.99992465,290003.0,290003,143,2000-07-24 12:30:00,29.99992465,,0.009900990099009901
24,014626,DALY WATERS AIRSTRIP                    ,-16.2637,133.3782,209.8,5.48355,6.091836734693878,0.0324199204106827,2.6920133604727656,2.0369698576656763,2000-09-13 08:30:00,29.997953516666666,217446.0,217446,537,2000-09-13 08:30:00,29.997953516666666,,0.009900990099009901
25,014627,BULMAN                                  ,-13.6715,134.3415,103.4,4.80145,7.0,0.0188718822455213,2.304411787536144,2.083590181956788,2003-07-30 19:30:00,28.84736503333333,217656.0,217656,35,2003-07-30 19:30:00,28.847365033333332,,0.009900990099009901
26,014703,CENTRE ISLAND                           ,-15.7426,136.8192,12.2,6.1856475,14.375,0.0016723231797397,1.2194036778014865,5.072682328458073,2000-11-06 04:00:00,29.63460866666667,180891.0,180891,16,2000-11-06 04:00:00,29.63460866666667,,0.594059405940594
27,014704,MCARTHUR RIVER MINE AIRPORT             ,-16.4423,136.076,40.0,4.563161,12.333333333333334,0.0066329596737866,1.7838586367171498,2.558028311424325,2003-08-14 16:30:00,29.99991295,272571.0,272571,8,2003-08-14 16:30:00,29.999912950000002,,0.6831683168316832
28,014723,BORROLOOLA AIRPORT                      ,-16.0755,136.3041,16.1,5.0281744,12.666666666666666,0.0148316124594979,1.8815500265410952,2.6723575400081283,2000-07-24 12:30:00,29.99992465,297625.0,297625,20,2000-07-24 12:30:00,29.99992465,,0.19801980198019803
29,014808,BRADSHAW - ANGALLARI VALLEY (DEFENCE)   ,-15.4397,130.5731,60.0,4.538152,5.173913043478261,0.0112826527499905,2.4198000031455766,1.8754245028373,2017-12-08 10:30:00,29.999679516666667,92816.0,92816,75,2017-12-08 10:30:00,29.999679516666667,,0.019801980198019802
30,014825,VICTORIA RIVER DOWNS                    ,-16.403,131.0145,88.5,4.3328457,4.5,0.0068509376444326,2.0217733395663413,2.1430917121479016,2000-07-24 12:30:00,29.99992465,257246.0,257246,24,2000-07-24 12:30:00,29.99992465,,0.009900990099009901
31,014829,LAJAMANU AIRPORT                        ,-18.3324,130.6361,315.6,5.987253,5.181818181818182,0.008962256190666,1.6869631606876332,3.549130964215255,2000-07-24 12:30:00,29.99992465,301294.0,301294,38,2000-07-24 12:30:00,29.99992465,,0.019801980198019802
32,014850,TIMBER CREEK                            ,-15.6614,130.4808,20.1,5.2642922,0.0,0.0431715521744516,2.4359192884979635,2.1611111111111114,2013-02-04 14:00:00,29.993356950000003,5.0,5,0,2013-02-04 14:00:00,29.993356950000003,,
33,014901,DOUGLAS RIVER RESEARCH FARM             ,-13.8345,131.1872,42.8,4.652643,6.363636363636363,0.0120583473087546,2.183040841121432,2.131267137148603,1996-09-30 10:30:00,29.99993548333333,283722.0,283722,203,1996-09-30 10:30:00,29.999935483333335,,0.009900990099009901
34,014909,CENTRAL ARNHEM PLATEAU                  ,-13.3275,133.0861,416.0,6.7005515,5.75,0.0179612161644486,1.866629056692603,3.5896534910527897,2003-08-27 10:30:00,29.99947678333333,147875.0,147875,123,2003-08-27 10:30:00,29.999476783333332,,0.0297029702970297
35,014932,TINDAL RAAF                             ,-14.5229,132.3826,133.6,5.403566,6.15,0.0082843974547357,1.9212172032559265,2.812574171457001,1990-06-01 10:30:00,29.999947916666667,451850.0,451850,105,1990-06-01 10:30:00,29.999947916666667,,0.009900990099009901
36,014948,PORT KEATS AIRPORT                      ,-14.2494,129.5282,28.0,4.956875,7.5,0.0110510864980142,1.92298208324899,2.577702044439843,2000-08-30 09:30:00,29.999924316666668,293031.0,293031,52,2000-08-30 09:30:00,29.999924316666668,,0.009900990099009901
37,014949,DELAMERE WEAPONS RANGE                  ,-15.7441,131.9181,221.0,5.794693,0.0,0.0092578468946928,1.833828418828228,3.159888315432875,2000-07-24 12:30:00,29.99992465,359228.0,359228,8,2000-07-24 12:30:00,29.99992465,,0.6138613861386139
38,014954,BRADSHAW                                ,-14.9408,130.8091,75.0,4.090464,4.0,0.0018862163644667,1.4569431141648117,2.8075661124817968,2001-11-18 13:30:00,29.99992,185553.0,185553,1,2001-11-18 13:30:00,29.99992,,1.0
39,014981,BRADSHAW - KOOLENDONG VALLEY (DEFENCE)  ,-15.1853,130.1169,42.0,4.3801374,8.109324758842444,0.0495212209628183,3.786687290798519,1.1567201374631644,2018-10-24 14:30:00,29.999616566666667,77461.0,77461,646,2018-10-24 14:30:00,29.999616566666667,,0.009900990099009901
